"zone","acres","sqft","yearbuilt","bedrooms","bathrooms","halfbaths","multibuilding","style","saledate1","saleprice1","saledate2","saleprice2","saledate3","saleprice3","saledate4","saleprice4","saledate5","saleprice5"
"BA",0.15,4832,1957,0,0,0,FALSE,"Clubs/Lodges","2010",415000,"1992",324500,NA,NA,NA,NA,NA,NA
"BA",0.5,0,NA,0,0,0,FALSE,"Outbuildings","2017",1550000,"2014",800949,"2014",0,"2014",0,"1964",75000
"BA",0.09,1116,1900,0,0,0,FALSE,"Mix Ret Apt","2006",162500,"2005",0,"1990",0,"1989",97000,NA,NA
"BA",0.12,1540,1932,0,0,0,FALSE,"Retail&lt;10th sf","1985",32000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.1,1475,1900,2,2,0,FALSE,"2 Family","2014",0,"2012",47212,"2012",0,"2010",0,"2006",214000
"BA",0.12,2179,1910,4,2,0,FALSE,"2 Family","2018",0,"2017",0,"2017",110500,"2017",0,"2005",189000
"BA",0.22,3852,1952,0,0,0,FALSE,"Warehouse","2000",0,"2000",60000,"1998",0,"1987",245000,NA,NA
"BA",0.61,6416,1970,0,0,0,FALSE,"Churches","1993",225000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.27,0,NA,0,0,0,FALSE,"Outbuildings","2007",0,"2004",10000,"1998",22800,"1998",0,"1994",26000
"BA",0.17,7153,1920,0,0,0,FALSE,"Mix Off Apt","2016",0,"2009",0,"2007",0,"2004",295000,"1998",22800
"BA",0.17,0,NA,0,0,0,FALSE,"Outbuildings","2016",0,"2004",295000,"1998",22800,"1988",0,NA,NA
"BA",0.25,5544,1937,0,0,0,FALSE,"Office","2005",525000,"1994",0,"1989",0,NA,NA,NA,NA
"BA",0.17,231,1991,0,0,0,FALSE,"Gas Mart","2004",0,"1997",362500,"1995",0,"1994",0,"1990",229250
"BA",0.04,3200,1900,0,0,0,FALSE,"Mix Ret Apt","2008",110000,"2000",150000,"1995",0,"1985",30000,NA,NA
"BA",0.12,1890,1900,4,2,0,FALSE,"2 Family","2006",0,"2005",0,"2003",0,"2000",37848,"2000",0
"BA",0.07,2160,1910,4,2,0,FALSE,"2 Family","2015",1260000,"2013",810000,"2010",0,"2010",67000,"2010",0
"BA",0.08,2900,1900,5,3,0,FALSE,"3 Family","2015",0,"2013",0,"2013",73000,"2013",0,"2013",35000
"BA",0.1,5000,1900,0,0,0,FALSE,"Mix Ret Apt","2014",40000,"2014",0,"2003",95000,"2002",25000,"1999",5000
"BA",0.09,0,NA,0,0,0,FALSE,"Vacant Land","2004",3800,"2000",0,"1995",0,"1995",0,"1995",0
"BA",0.22,2018,1900,4,3,0,FALSE,"3 Family","2017",170000,"2010",148026,"2009",56000,"2008",0,"2005",206500
"BA",0.12,3472,1900,9,5,0,FALSE,"4 Family","2012",125000,"2010",0,"2010",110000,"2009",0,"2008",0
